plntname,ra_str,ra,dec_str,dec,imdelthmag,imdeltjmag,imdeltkmag,imdeltlpmag,imangsep,imsep,imtruesep,impa,imdist,ns,glon,glat,imjmag,imhmag,imkmag,imlpmag,implnjmag,implnhmag,implnkmag,implnlpmag
USco CTIO 108 b,16:05:54.07,241.47532,-18:18:44.4,-18.312332,,,,,,,,,145,1,354.46977,24.5388974,,,,,,,,
1RXS J160929.1-210524 b,16:09:30.31,242.376268,-21:04:58.9,-21.083036,,,,,,,,,145,1,352.89056,22.0304266,,,,,,,,
HIP 78530 b,16:01:55.46,240.481064,-21:58:49.4,-21.9803886,,,,,,,,,157,1,350.87063,22.6810591,,,,,,,,
HR 8799 b,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,1.721,,,60.9,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 b,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,1.717,,,60.9,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 b,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,1.723,,,61.6,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 b,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,1.722,,,62.4,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 b,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,1.725,,,62.6,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 b,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,1.719,,,62.5,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 b,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,1.72,,,62.9,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 b,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,1.716,,,63.5,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 b,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,1.719,,,63.7,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 b,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,1.716,,,64.2,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 b,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,1.718,,,64.4,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 b,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,1.706,,,64.9,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 b,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,1.72,,,65.1,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 c,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,0.957,,,45.5,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 c,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,0.957,,,45.1,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 c,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,0.959,,,43.7,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 c,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,0.957,,,41.9,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 c,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,0.962,,,41.3,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 c,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,0.961,,,41.5,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 c,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,0.956,,,40.4,39.4,1,92.76421,-35.5750779,,,,,,,,
