plntname,ra_str,ra,dec_str,dec,imdelthmag,imdeltjmag,imdeltkmag,imdeltlpmag,imangsep,imsep,imtruesep,impa,imdist,ns,glon,glat,imjmag,imhmag,imkmag,imlpmag,implnjmag,implnhmag,implnkmag,implnlpmag
SR 12 AB c,23:40:24.51,246.8313,+44:20:02.2,-24.694553,,,,,8.661,1100,,,125,2,352.97994,16.5649924,,,,,,,,
SR 12 AB c,23:40:24.51,246.8313,+44:20:02.2,-24.694553,,,,,8.659,1100,,,125,2,352.97994,16.5649924,,,,,,15.35,,1.31E+01
SR 12 AB c,23:40:24.51,246.8313,+44:20:02.2,-24.694553,,,,,8.662,1100,,,125,2,352.97994,16.5649924,,,,,,,,
1RXS J160929.1-210524 b,16:09:30.31,242.376268,-21:04:58.9,-21.083036,,,7.25E+00,,2.219,330,,27.7,150,1,352.89056,22.0304266,,,8.92,,,,1.62E+01,
1RXS J160929.1-210524 b,16:09:30.31,242.376268,-21:04:58.9,-21.083036,7.75,8.08E+00,,,2.219,330,,27.7,150,1,352.89056,22.0304266,9.82,9.12,,,1.79E+01,16.87,,
HN Peg b,21:44:31.33,326.130554,+14:46:19.0,14.7719393,,,,,43.2,795,,254.4,18.4,1,69.85936,-28.2692843,,,,,1.59E+01,15.4,1.51E+01,
HD 203030 b,21:18:58.97,319.742584,+26:13:46.1,26.230545,,,9.56E+00,,11.923,487.1,,108.8,40,1,74.61358,-16.1177434,,,6.65,,1.81E+01,16.85,1.62E+01,
GQ Lup b,15:49:12.10,237.300427,-35:39:05.1,-35.651421,,,,,0.739,,,,140,1,338.92535,14.5108803,,,,,,,,
GQ Lup b,15:49:12.10,237.300427,-35:39:05.1,-35.651421,,,,5.65E+00,0.737,,,,140,1,338.92535,14.5108803,,,,6.05,,,,1.17E+01
GQ Lup b,15:49:12.10,237.300427,-35:39:05.1,-35.651421,,,6.00E+00,,0.733,,,,140,1,338.92535,14.5108803,,,7.1,,,,1.31E+01,
GQ Lup b,15:49:12.10,237.300427,-35:39:05.1,-35.651421,,,,,0.731,,,,140,1,338.92535,14.5108803,,,,,,,,
GQ Lup b,15:49:12.10,237.300427,-35:39:05.1,-35.651421,,,,,0.736,,,,140,1,338.92535,14.5108803,,,,,,,,
HD 100546 b,11:33:25.44,173.356003,-70:11:41.2,-70.1947861,,,9.60E+00,9.40E+00,0.457,53,,8.4,97,1,296.36728,-8.323635,,,5.83,4.52,,,1.54E+01,1.39E+01
HD 100546 b,11:33:25.44,173.356003,-70:11:41.2,-70.1947861,,,9.60E+00,,0.472,53,,9.2,97,1,296.36728,-8.323635,,,5.83,,,,1.54E+01,
2MASS J04414489+2301513 b,04:41:44.90,70.437073,+23:01:51.4,23.030941,,,,,0.105,,,120.4,140,1,176.51059,-15.1142495,,,,,,,,
2MASS J04414489+2301513 b,04:41:44.90,70.437073,+23:01:51.4,23.030941,1.68,,1.54E+00,,0.105,,,120.4,140,1,176.51059,-15.1142495,,13.94,13.4,,,15.62,1.49E+01,
Fomalhaut b,22:57:39.05,344.412689,-29:37:20.1,-29.6222363,,,,,12.7,97.6,1.30E+02,,7.7,1,20.48802,-64.9095697,,,,,,22.9,,1.66E+01
Fomalhaut b,22:57:39.05,344.412689,-29:37:20.1,-29.6222363,,,,,12.7,97.6,1.15E+02,,7.7,1,20.48802,-64.9095697,,,,,,22.9,,1.66E+01
Fomalhaut b,22:57:39.05,344.412689,-29:37:20.1,-29.6222363,,,,,12.7,97.6,1.15E+02,,7.7,1,20.48802,-64.9095697,,,,,,22.9,,1.66E+01
Fomalhaut b,22:57:39.05,344.412689,-29:37:20.1,-29.6222363,,,,,12.7,97.6,1.15E+02,,7.7,1,20.48802,-64.9095697,,,,,,22.9,,
Fomalhaut b,22:57:39.05,344.412689,-29:37:20.1,-29.6222363,,,,,12.7,97.6,1.15E+02,,7.7,1,20.48802,-64.9095697,,,,,,20.6,,
Fomalhaut b,22:57:39.05,344.412689,-29:37:20.1,-29.6222363,,,,,12.7,97.6,1.15E+02,,7.7,1,20.48802,-64.9095697,,,,,,,,1.66E+01
Fomalhaut b,22:57:39.05,344.412689,-29:37:20.1,-29.6222363,,,,,12.7,97.6,1.15E+02,,7.7,1,20.48802,-64.9095697,,,,,,,,1.66E+01
ROXs 42 B b,16:31:15.02,247.812567,-24:32:43.7,-24.545471,,,6.30E+00,,1.157,150,,268.9,135,2,353.70707,15.9898273,9.91,9.02,8.67,,,,1.50E+01,
ROXs 42 B b,16:31:15.02,247.812567,-24:32:43.7,-24.545471,,,6.10E+00,,1.16,150,,269.7,135,2,353.70707,15.9898273,9.91,9.02,8.67,,,,1.48E+01,
ROXs 42 B b,16:31:15.02,247.812567,-24:32:43.7,-24.545471,6.86,,,,1.169,150,,269.6,135,2,353.70707,15.9898273,9.91,9.02,8.67,,,15.88,,
ROXs 42 B b,16:31:15.02,247.812567,-24:32:43.7,-24.545471,,,6.20E+00,,1.15,150,,270,135,2,353.70707,15.9898273,9.91,9.02,8.67,,,,1.49E+01,
ROXs 12 b,16:26:27.76,246.615609,-25:27:24.7,-25.456865,5.44,5.62E+00,5.02E+00,4.12E+00,1.781,210,,9.1,120,1,352.24976,352.24976,11.02,9.93,9.26,8.43,1.66E+01,15.37,1.43E+01,1.26E+01
PDS 70 b,14:08:10.16,212.042333,-41:23:52.58,-41.3979389,9.12,,7.81E+00,6.84E+00,0.195,22,,155,113.4,1,318.0621,19.2085494,9.55,8.82,8.54,7.91,,17.94,1.64E+01,1.48E+01
PDS 70 b,14:08:10.16,212.042333,-41:23:52.58,-41.3979389,9.12,,7.81E+00,6.84E+00,0.195,22,,155,113.4,1,318.0621,19.2085494,9.55,8.82,8.54,7.91,,17.94,1.64E+01,1.48E+01
PDS 70 b,14:08:10.16,212.042333,-41:23:52.58,-41.3979389,9.12,,7.81E+00,6.84E+00,0.195,22,,155,113.4,1,318.0621,19.2085494,9.55,8.82,8.54,7.91,,17.94,1.64E+01,1.48E+01
PDS 70 b,14:08:10.16,212.042333,-41:23:52.58,-41.3979389,9.12,,7.81E+00,6.84E+00,0.195,22,,155,113.4,1,318.0621,19.2085494,9.55,8.82,8.54,7.91,,17.94,1.64E+01,1.48E+01
PDS 70 b,14:08:10.16,212.042333,-41:23:52.58,-41.3979389,9.12,,7.81E+00,6.84E+00,0.195,22,,155,113.4,1,318.0621,19.2085494,9.55,8.82,8.54,7.91,,17.94,1.64E+01,1.48E+01
PDS 70 b,14:08:10.16,212.042333,-41:23:52.58,-41.3979389,9.12,,7.81E+00,6.84E+00,0.195,22,,155,113.4,1,318.0621,19.2085494,9.55,8.82,8.54,7.91,,17.94,1.64E+01,1.48E+01
PDS 70 b,14:08:10.16,212.042333,-41:23:52.58,-41.3979389,,,,6.59E+00,0.192,21.8,,162.2,113.4,1,318.0621,19.2085494,9.55,8.82,8.54,7.91,,,,1.45E+01
PDS 70 b,14:08:10.16,212.042333,-41:23:52.58,-41.3979389,9.35,,,,0.192,22.6,,154.5,113.4,1,318.0621,19.2085494,9.55,8.82,8.54,7.91,,18.17,,
PDS 70 b,14:08:10.16,212.042333,-41:23:52.58,-41.3979389,9.12,,,,0.2,21.8,,153.4,113.4,1,318.0621,19.2085494,9.55,8.82,8.54,7.91,,17.94,,
PDS 70 b,14:08:10.16,212.042333,-41:23:52.58,-41.3979389,,,7.81E+00,,0.193,21.9,,152.2,113.4,1,318.0621,19.2085494,9.55,8.82,8.54,7.91,,,1.64E+01,
PDS 70 b,14:08:10.16,212.042333,-41:23:52.58,-41.3979389,,,,6.84E+00,0.19,21.5,,150.6,113.4,1,318.0621,19.2085494,9.55,8.82,8.54,7.91,,,,1.48E+01
PDS 70 c,14:08:10.16,212.042333,-41:23:52.58,-41.3979389,7.7,,8.80E+00,6.60E+00,0.277,27.2,3.45E+01,277,113.4,1,318.0621,19.2085494,,,,,,,,
PDS 70 c,14:08:10.16,212.042333,-41:23:52.58,-41.3979389,,,8.80E+00,,0.215,33.6,,285,113.4,1,318.0621,19.2085494,,,,,,,,
PDS 70 c,14:08:10.16,212.042333,-41:23:52.58,-41.3979389,,,,6.60E+00,0.254,39.7,,283.3,113.4,1,318.0621,19.2085494,,,,,,,,
PDS 70 c,14:08:10.16,212.042333,-41:23:52.58,-41.3979389,7.7,,,,0.235,38.6,,277,113.4,1,318.0621,19.2085494,,,,,,,,
Oph 11 b,16:22:25.21,245.605058,-24:05:13.9,-24.087208,0.69,8.20E-01,5.20E-01,,1.943,242.9,,176.2,125,1,352.67858,17.8032159,15.04,14.19,13.92,,1.59E+01,14.88,1.44E+01,
Oph 11 b,16:22:25.21,245.605058,-24:05:13.9,-24.087208,,,,3.60E-01,1.943,242.9,,176.2,125,1,352.67858,17.8032159,,,,,,,,
HR 8799 b,23:07:28.72,346.869659,+21:08:03.3,21.1342506,12.57,1.39E+01,1.18E+01,1.04E+01,1.73,68.2,,,39.4,1,92.76421,-35.5750779,5.38,5.28,5.24,5.22,1.93E+01,17.85,1.70E+01,1.56E+01
HR 8799 b,23:07:28.72,346.869659,+21:08:03.3,21.1342506,12.57,,,,1.716,67.6,,59,39.4,1,92.76421,-35.5750779,5.38,5.28,5.24,5.22,,17.85,,
HR 8799 b,23:07:28.72,346.869659,+21:08:03.3,21.1342506,12.57,,,,1.713,67.5,,62,39.4,1,92.76421,-35.5750779,5.38,5.28,5.24,5.22,,18.16,,
HR 8799 b,23:07:28.72,346.869659,+21:08:03.3,21.1342506,12.57,,,,1.723,67.9,,62.4,39.4,1,92.76421,-35.5750779,5.38,5.28,5.24,5.22,,17.85,,
HR 8799 b,23:07:28.72,346.869659,+21:08:03.3,21.1342506,12.57,1.39E+01,,1.04E+01,1.724,67.9,,62.3,39.4,1,92.76421,-35.5750779,5.38,5.28,5.24,5.22,1.93E+01,17.85,,1.56E+01
HR 8799 b,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,1.39E+01,1.18E+01,1.04E+01,1.72,67.9,,62.4,39.4,1,92.76421,-35.5750779,5.38,5.28,5.24,5.22,1.93E+01,,1.70E+01,1.56E+01
HR 8799 c,23:07:28.72,346.869659,+21:08:03.3,21.1342506,11.63,1.23E+01,1.09E+01,9.50E+00,0.95,37.4,,,39.4,1,92.76421,-35.5750779,5.38,5.28,5.24,5.22,1.76E+01,16.91,1.61E+01,1.47E+01
HR 8799 c,23:07:28.72,346.869659,+21:08:03.3,21.1342506,11.63,,,,0.96,37.8,,320.4,39.4,1,92.76421,-35.5750779,5.38,5.28,5.24,5.22,,16.91,,
HR 8799 c,23:07:28.72,346.869659,+21:08:03.3,21.1342506,11.63,,,,0.958,37.8,,314.7,39.4,1,92.76421,-35.5750779,5.38,5.28,5.24,5.22,,17.23,,
HR 8799 c,23:07:28.72,346.869659,+21:08:03.3,21.1342506,11.63,,,,0.961,37.9,,316.8,39.4,1,92.76421,-35.5750779,5.38,5.28,5.24,5.22,,16.91,,
HR 8799 c,23:07:28.72,346.869659,+21:08:03.3,21.1342506,11.63,1.23E+01,,9.50E+00,0.964,38,,317.1,39.4,1,92.76421,-35.5750779,5.38,5.28,5.24,5.22,1.76E+01,16.91,,1.47E+01
HR 8799 c,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,1.23E+01,1.09E+01,9.50E+00,0.964,38,,317.1,39.4,1,92.76421,-35.5750779,5.38,5.28,5.24,5.22,1.76E+01,,1.61E+01,1.47E+01
HR 8799 d,23:07:28.72,346.869659,+21:08:03.3,21.1342506,11.56,1.29E+01,1.09E+01,9.32E+00,0.63,24.8,,,39.4,1,92.76421,-35.5750779,5.38,5.28,5.24,5.22,1.82E+01,16.84,1.61E+01,1.45E+01
HR 8799 d,23:07:28.72,346.869659,+21:08:03.3,21.1342506,11.56,,,,0.618,24.4,,199.7,39.4,1,92.76421,-35.5750779,5.38,5.28,5.24,5.22,,16.84,,
HR 8799 d,23:07:28.72,346.869659,+21:08:03.3,21.1342506,11.56,1.29E+01,,9.32E+00,0.621,24.5,,200.4,39.4,1,92.76421,-35.5750779,5.38,5.28,5.24,5.22,1.82E+01,16.84,,1.45E+01
HR 8799 d,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,1.29E+01,1.09E+01,9.32E+00,0.621,24.5,,200.4,39.4,1,92.76421,-35.5750779,5.38,5.28,5.24,5.22,1.82E+01,,1.61E+01,1.45E+01
HR 8799 e,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,1.07E+01,9.37E+00,,14.5,,242,39.4,1,92.76421,-35.5750779,,,5.24,5.22,,,1.59E+01,1.46E+01
HR 8799 e,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,1.07E+01,9.37E+00,,14.5,,242,39.4,1,92.76421,-35.5750779,,,5.24,5.22,,,1.59E+01,1.46E+01
HR 8799 e,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,0.369,14.5,,234,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 e,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,9.37E+00,0.368,14.5,,234,39.4,1,92.76421,-35.5750779,,,,5.22,,,,1.46E+01
HR 8799 e,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,9.37E+00,0.362,14.3,,237.2,39.4,1,92.76421,-35.5750779,,,,5.22,,,,1.46E+01
HR 8799 e,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,1.07E+01,,0.368,14.5,,242,39.4,1,92.76421,-35.5750779,,,5.24,,,,1.59E+01,
HR 8799 e,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,9.37E+00,0.368,14.5,,241.6,39.4,1,92.76421,-35.5750779,,,,5.22,,,,1.46E+01
HR 8799 e,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,9.37E+00,0.371,14.6,,244.1,39.4,1,92.76421,-35.5750779,,,,5.22,,,,1.46E+01
HR 2562 b,06:50:01.02,102.504227,-60:14:56.9,-60.2491455,11.7,,,,0.619,20.3,,297.6,33.6,1,270.17577,-23.4917962,,,,,,16.83,,
HR 2562 b,06:50:01.02,102.504227,-60:14:56.9,-60.2491455,,,1.06E+01,,0.618,20.3,,297.4,33.6,1,270.17577,-23.4917962,,,,,,,1.56E+01,
HR 2562 b,06:50:01.02,102.504227,-60:14:56.9,-60.2491455,,,1.04E+01,,0.619,20.3,,297.5,33.6,1,270.17577,-23.4917962,,,,,,,1.54E+01,
HR 2562 b,06:50:01.02,102.504227,-60:14:56.9,-60.2491455,,1.26E+01,,,0.62,20.3,,297.9,33.6,1,270.17577,-23.4917962,,,,,1.79E+01,,,
HIP 78530 b,16:01:55.46,240.481064,-21:58:49.4,-21.9803886,,,,,4.529,710,,140.3,156.7,1,350.87063,22.6810591,,,,,,,,
HIP 78530 b,16:01:55.46,240.481064,-21:58:49.4,-21.9803886,7.44,8.13E+00,7.27E+00,,4.533,710,,140.3,156.7,1,350.87063,22.6810591,6.93,6.95,6.9,,1.51E+01,14.39,1.42E+01,
HIP 78530 b,16:01:55.46,240.481064,-21:58:49.4,-21.9803886,,,,,4.536,710,,140.3,156.7,1,350.87063,22.6810591,,,,,,,,
HD 95086 b,10:57:03.02,164.262589,-68:40:02.4,-68.6673431,,,,9.79E+00,0.624,56.4,,151.8,90.4,1,292.80292,-8.075282,,,6.79,6.7,,,1.77E+01,1.65E+01
HD 95086 b,10:57:03.02,164.262589,-68:40:02.4,-68.6673431,,,,9.79E+00,0.624,56.4,,151.8,90.4,1,292.80292,-8.075282,,,6.79,6.7,,,1.77E+01,1.65E+01
HD 95086 b,10:57:03.02,164.262589,-68:40:02.4,-68.6673431,,,,9.79E+00,0.624,56.4,,151.8,90.4,1,292.80292,-8.075282,,,6.79,6.7,,,,1.65E+01
HD 95086 b,10:57:03.02,164.262589,-68:40:02.4,-68.6673431,,,,1.09E+01,0.624,56.4,,151.8,90.4,1,292.80292,-8.075282,,,6.79,6.7,,,1.77E+01,
HD 95086 b,10:57:03.02,164.262589,-68:40:02.4,-68.6673431,,,,9.71E+00,0.624,56.4,,151.8,90.4,1,292.80292,-8.075282,,,6.79,6.7,,,,1.64E+01
HD 106906 b,12:17:53.19,184.471634,-55:58:31.9,-55.9755249,,,,,7.135,656.4,,307.1,92,1,298.21888,6.5889667,6.95,6.68,6.68,6.7,,,,
HD 106906 b,12:17:53.19,184.471634,-55:58:31.9,-55.9755249,8.7,,8.78E+00,,7.12,655,,307.1,92,1,298.21888,6.5889667,6.95,6.68,6.68,6.7,,15.38,1.55E+01,
HD 106906 b,12:17:53.19,184.471634,-55:58:31.9,-55.9755249,,1.07E+01,8.78E+00,7.94E+00,7.11,654.1,,307.3,92,1,298.21888,6.5889667,6.95,6.68,6.68,6.7,1.76E+01,,1.55E+01,1.46E+01
GJ 504 b,13:16:46.52,199.193817,+09:25:27.0,9.42415619,16.28,1.58E+01,1.54E+01,1.29E+01,2.499,43.9,,326.1,17.6,1,322.79015,71.3123997,4.11,3.86,3.81,3.94,1.99E+01,20.14,1.92E+01,1.68E+01
GJ 504 b,13:16:46.52,199.193817,+09:25:27.0,9.42415619,16.28,,,,2.479,43.5,,327.9,17.6,1,322.79015,71.3123997,4.11,3.86,3.81,3.94,,20.14,,
GJ 504 b,13:16:46.52,199.193817,+09:25:27.0,9.42415619,16.28,,,,2.483,43.6,,327.4,17.6,1,322.79015,71.3123997,4.11,3.86,3.81,3.94,,20.14,,
GJ 504 b,13:16:46.52,199.193817,+09:25:27.0,9.42415619,,,,1.29E+01,2.481,43.6,,326.8,17.6,1,322.79015,71.3123997,4.11,3.86,3.81,3.94,,,,1.68E+01
GJ 504 b,13:16:46.52,199.193817,+09:25:27.0,9.42415619,,,,1.29E+01,2.448,43,,325.8,17.6,1,322.79015,71.3123997,4.11,3.86,3.81,3.94,,,,1.68E+01
GJ 504 b,13:16:46.52,199.193817,+09:25:27.0,9.42415619,,,1.54E+01,,2.483,43.6,,326.5,17.6,1,322.79015,71.3123997,4.11,3.86,3.81,3.94,,,1.92E+01,
GJ 504 b,13:16:46.52,199.193817,+09:25:27.0,9.42415619,,1.58E+01,,,2.487,43.7,,326.5,17.6,1,322.79015,71.3123997,4.11,3.86,3.81,3.94,1.99E+01,,,
GJ 504 b,13:16:46.52,199.193817,+09:25:27.0,9.42415619,,,,1.29E+01,2.499,43.9,,326.1,17.6,1,322.79015,71.3123997,4.11,3.86,3.81,3.94,,,,1.68E+01
2MASS J12073346-3932539 b,12:07:33.47,181.889447,-39:32:54.0,-39.548332,5.7,5.50E+00,4.98E+00,3.90E+00,0.778,55,,125.8,70,1,293.79036,22.5432974,13,12.39,11.95,11.38,1.85E+01,18.09,1.69E+01,1.53E+01
2MASS J12073346-3932539 b,12:07:33.47,181.889447,-39:32:54.0,-39.548332,5.7,5.50E+00,4.98E+00,3.90E+00,0.778,55,,125.8,70,1,293.79036,22.5432974,13,12.39,11.95,11.38,1.85E+01,18.09,1.69E+01,1.53E+01
2MASS J21402931+1625183 A b,21:40:29.32,325.122159,16:25:18.3,16.421759,0.93,9.50E-01,7.40E-01,,,,,,25,1,70.4851,-26.437255,13.32,12.66,12.27,,1.43E+01,13.58,1.30E+01,
2MASS J21402931+1625183 A b,21:40:29.32,325.122159,16:25:18.3,16.421759,0.93,9.50E-01,7.40E-01,,,,,,25,1,70.4851,-26.437255,13.32,12.66,12.27,,1.43E+01,13.58,1.30E+01,
2MASS J21402931+1625183 A b,21:40:29.32,325.122159,16:25:18.3,16.421759,0.93,9.50E-01,7.40E-01,,0.109,2.7,,202.9,25,1,70.4851,-26.437255,13.32,12.66,12.27,,1.43E+01,13.58,1.30E+01,
2MASS J21402931+1625183 A b,21:40:29.32,325.122159,16:25:18.3,16.421759,0.93,9.50E-01,7.40E-01,,0.108,2.7,,215,25,1,70.4851,-26.437255,13.32,12.66,12.27,,1.43E+01,13.58,1.30E+01,
2MASS J21402931+1625183 A b,21:40:29.32,325.122159,16:25:18.3,16.421759,0.93,9.50E-01,7.40E-01,,0.108,2.7,,223.5,25,1,70.4851,-26.437255,13.32,12.66,12.27,,1.43E+01,13.58,1.30E+01,
2MASS J21402931+1625183 A b,21:40:29.32,325.122159,16:25:18.3,16.421759,0.93,9.50E-01,7.40E-01,,0.108,2.7,,234,25,1,70.4851,-26.437255,13.32,12.66,12.27,,1.43E+01,13.58,1.30E+01,
2MASS J21402931+1625183 A b,21:40:29.32,325.122159,16:25:18.3,16.421759,0.93,9.50E-01,7.40E-01,,0.111,2.8,,243.3,25,1,70.4851,-26.437255,13.32,12.66,12.27,,1.43E+01,13.58,1.30E+01,
2MASS J21402931+1625183 A b,21:40:29.32,325.122159,16:25:18.3,16.421759,0.93,9.50E-01,7.40E-01,,0.12,3,,241.4,25,1,70.4851,-26.437255,13.32,12.66,12.27,,1.43E+01,13.58,1.30E+01,
2MASS J21402931+1625183 A b,21:40:29.32,325.122159,16:25:18.3,16.421759,0.93,9.50E-01,7.40E-01,,0.113,2.8,,254.7,25,1,70.4851,-26.437255,13.32,12.66,12.27,,1.43E+01,13.58,1.30E+01,
2MASS J21402931+1625183 A b,21:40:29.32,325.122159,16:25:18.3,16.421759,0.93,9.50E-01,7.40E-01,,0.114,2.9,,263.3,25,1,70.4851,-26.437255,13.32,12.66,12.27,,1.43E+01,13.58,1.30E+01,
AB Pic b,06:19:12.91,94.8038025,-58:03:15.5,-58.0543098,8.48,9.79E+00,7.39E+00,,,,,,47.3,1,266.94371,-26.9307986,7.58,7.09,6.98,,1.74E+01,15.57,1.44E+01,
AB Pic b,06:19:12.91,94.8038025,-58:03:15.5,-58.0543098,7.78,8.59E+00,6.89E+00,,,,,,47.3,1,266.94371,-26.9307986,7.58,7.09,6.98,,1.62E+01,14.87,1.39E+01,
AB Pic b,06:19:12.91,94.8038025,-58:03:15.5,-58.0543098,7.98,8.99E+00,7.09E+00,,,,,,47.3,1,266.94371,-26.9307986,7.58,7.09,6.98,,1.66E+01,15.07,1.41E+01,
AB Pic b,06:19:12.91,94.8038025,-58:03:15.5,-58.0543098,8.08,9.09E+00,7.09E+00,,,,,,47.3,1,266.94371,-26.9307986,7.58,7.09,6.98,,1.67E+01,15.17,1.41E+01,
AB Pic b,06:19:12.91,94.8038025,-58:03:15.5,-58.0543098,8.18,8.59E+00,7.59E+00,,,,,,47.3,1,266.94371,-26.9307986,7.58,7.09,6.98,,1.62E+01,15.27,1.46E+01,
AB Pic b,06:19:12.91,94.8038025,-58:03:15.5,-58.0543098,6.98,7.29E+00,6.49E+00,,,,,,47.3,1,266.94371,-26.9307986,7.58,7.09,6.98,,1.49E+01,14.07,1.35E+01,
AB Pic b,06:19:12.91,94.8038025,-58:03:15.5,-58.0543098,7.6,8.60E+00,7.16E+00,,5.46,258.3,,175.3,47.3,1,266.94371,-26.9307986,7.58,7.09,6.98,,1.62E+01,14.69,1.41E+01,
AB Pic b,06:19:12.91,94.8038025,-58:03:15.5,-58.0543098,7.6,,,,5.45,257.8,,175.1,47.3,1,266.94371,-26.9307986,7.58,7.09,6.98,,,14.69,,
AB Pic b,06:19:12.91,94.8038025,-58:03:15.5,-58.0543098,7.6,,,,5.45,7.9,,175.3,47.3,1,266.94371,-26.9307986,7.58,7.09,6.98,,,14.69,,
bet Pic b,05:47:17.08,86.8211975,-51:03:59.4,-51.0665131,7.7,,,,0.411,7.9,,,19.2,1,258.36388,-30.6116321,,,,3.5,,11.2,,
bet Pic b,05:47:17.08,86.8211975,-51:03:59.4,-51.0665131,7.7,,,,0.411,7.9,,,19.2,1,258.36388,-30.6116321,,,,3.5,,11.2,,
bet Pic b,05:47:17.08,86.8211975,-51:03:59.4,-51.0665131,7.7,,,,0.411,7.9,,31.8,19.2,1,258.36388,-30.6116321,,,,3.5,,11.2,,
bet Pic b,05:47:17.08,86.8211975,-51:03:59.4,-51.0665131,7.6,,,,0.401,7.7,,32.1,19.2,1,258.36388,-30.6116321,,,,3.5,,11.1,,
CFBDSIR J145829+101343 b,14:58:29.00,224.620833,+10:13:43.0,10.2286111,,,,,0.108,2.6,,308,23.1,1,9.59419,55.6550909,,,,,,,,
CFBDSIR J145829+101343 b,14:58:29.00,224.620833,+10:13:43.0,10.2286111,2.33,1.80E+00,2.20E+00,,0.108,2.6,,308,23.1,1,9.59419,55.6550909,19.86,20.18,20.63,,2.17E+01,22.51,2.28E+01,
CFBDSIR J145829+101343 b,14:58:29.00,224.620833,+10:13:43.0,10.2286111,2.33,1.80E+00,2.20E+00,,0.108,2.6,,308,23.1,1,9.59419,55.6550909,19.86,20.18,20.63,,2.17E+01,22.51,2.28E+01,
CFBDSIR J145829+101343 b,14:58:29.00,224.620833,+10:13:43.0,10.2286111,2.33,1.80E+00,2.20E+00,,0.108,2.6,,308,23.1,1,9.59419,55.6550909,19.86,20.18,20.63,,2.17E+01,22.51,2.28E+01,
CFBDSIR J145829+101343 b,14:58:29.00,224.620833,+10:13:43.0,10.2286111,2.33,1.80E+00,2.20E+00,,0.108,2.6,,308,23.1,1,9.59419,55.6550909,19.86,20.18,20.63,,2.17E+01,22.51,2.28E+01,
CFBDSIR J145829+101343 b,14:58:29.00,224.620833,+10:13:43.0,10.2286111,2.33,1.80E+00,2.20E+00,,0.108,2.6,,308,23.1,1,9.59419,55.6550909,19.86,20.18,20.63,,2.17E+01,22.51,2.28E+01,
CFBDSIR J145829+101343 b,14:58:29.00,224.620833,+10:13:43.0,10.2286111,,1.80E+00,,,0.11,2.5,,308,23.1,1,9.59419,55.6550909,19.86,,,,2.17E+01,,,
CFBDSIR J145829+101343 b,14:58:29.00,224.620833,+10:13:43.0,10.2286111,2.33,,,,0.111,2.6,,309.3,23.1,1,9.59419,55.6550909,,20.18,,,,22.51,,
CFBDSIR J145829+101343 b,14:58:29.00,224.620833,+10:13:43.0,10.2286111,,,2.20E+00,,0.122,2.6,,314,23.1,1,9.59419,55.6550909,,,20.63,,,,2.28E+01,
CHXR 73 b,11:06:28.77,166.619893,-77:37:33.2,-77.625877,5.2,5.20E+00,4.70E+00,,1.3,210,,234.9,161.5,1,297.27772,-15.9216421,12.7,11.3,10.8,,1.79E+01,16.5,1.55E+01,
CT Cha b,11:04:09.09,166.037877,-76:27:19.4,-76.455383,,,6.29E+00,,2.67,440,,300.7,165,1,296.6537,-14.9091413,9.71,,8.66,,,,1.50E+01,
CT Cha b,11:04:09.09,166.037877,-76:27:19.4,-76.455383,,6.90E+00,6.23E+00,,2.67,440,,300.7,165,1,296.6537,-14.9091413,9.71,,8.66,,1.66E+01,,1.49E+01,
DH Tau b,04:29:41.56,67.423158,+26:32:58.3,26.54952,6.14,5.94E+00,6.01E+00,,2.3,330,,,140,1,171.89951,-14.9387211,9.77,8.82,8.18,,1.57E+01,14.96,1.42E+01,
FU Tau b,04:23:35.74,65.898908,+25:02:59.6,25.049898,,,,,5.67,793.8,,123.4,140,2,172.11559,-16.9607887,,,,,,,,
FU Tau b,04:23:35.74,65.898908,+25:02:59.6,25.049898,,,,,5.61,785.4,,123,140,2,172.11559,-16.9607887,,,,,,,,
FU Tau b,04:23:35.74,65.898908,+25:02:59.6,25.049898,,,,,5.72,800.8,,123.2,140,2,172.11559,-16.9607887,,,,,,,1.33E+01,
GU Psc b,01:12:35.05,18.146006,+17:03:55.6,17.065475,8.1,7.09E+00,8.06E+00,,41.97,2000,,,48,1,130.15233,-45.509583,10.21,9.6,9.35,,1.81E+01,17.7,1.74E+01,
GU Psc b,01:12:35.05,18.146006,+17:03:55.6,17.065475,8.1,7.09E+00,8.06E+00,,41.97,2000,,,48,1,130.15233,-45.509583,10.21,9.6,9.35,,1.81E+01,17.7,1.74E+01,
GU Psc b,01:12:35.05,18.146006,+17:03:55.6,17.065475,8.1,7.09E+00,8.06E+00,,41.97,2000,,,48,1,130.15233,-45.509583,10.21,9.6,9.35,,1.81E+01,17.7,1.74E+01,
