pl_name,rastr,ra,decstr,dec,pl_massj,pl_masse,pl_orbsmax,st_mass,sy_dist,ml_dists,ml_tsepmin,ml_sepminnorm,ml_xtimeein,ml_radsnorm,ml_sepinsnorp,ml_massratio,ml_angstlax,ml_magis,ml_magibl,ml_radeinang,ml_pmrells,glon,glat,ml_plxrel,ml_plxmicro,ml_plxmicron,ml_plxmicroe,ml_dsdt,ml_dalphadt,ml_radsang,ml_radsphy,ml_xtimesrc,ml_efftime,ml_pms,ml_magvs,ml_magvso,ml_magiso,ml_magjs,ml_magjso,ml_maghs,ml_maghso,ml_magks,ml_magkso,ml_magibase,sy_vmag,sy_icmag,sy_jmag,sy_hmag,sy_kmag,ml_extvfld,ml_extifld,ml_extjfld,ml_exthfld,ml_extkfld
KMT-2021-BLG-0748L b,18h09m41.12s,272.421333,-25d44m47.69s,-25.746581,,,,,,,2459344.685,0.737,27.88,5.037,1.455,5.97,1.474,20.73,,0.16,2.1,5.4377,-3.02894,,,,,,,0.514,,0.1405,,,,,19.19,,,,,,,,,,,,,,,,,
OGLE-2017-BLG-1806L b,17h46m29.58s,266.62325,-24d16m20.17s,-24.272269,0.01658127,5.27,1.75,0.38,6400,,,,,,,,,,,,2.05,4.08658,2.25801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-0516L b,17h58m33.63s,269.640125,-31d15m44.6s,-31.262389,0.06324167,20.1,2.2,0.47,7000,,2458227.651,-0.1034,25.12,0.011,0.8676,1.292,-2.2764,19.45,,0.08,5,359.42174,-3.59284,,,0.078,-0.054,,,0.81,,,,,,,17.58,,,,,,,,,,,,,,,,,
KMT-2021-BLG-1391L b,18h02m44.06s,270.683583,-28d03m37.80s,-28.0605,0.01469346,4.67,2.26,0.38,5760,,2459385.29,0.012,31.818,0.573,0.991,0.37,2.438,22.15,,0.426,4.9,2.65873,-2.80007,,,,,,,0.244,,0.0182,,,,,20.96,,,,,,,,,,,,,,,,,
KMT-2019-BLG-1806L b,18h02m09.01s,270.537542,-29d24m53.60s,-29.414889,0.01456761,4.63,3.11,0.73,6680,,2458715.453,0.0257,134.1,1.9,1.0339,0.1919,2.151,21.35,,0.19,1.13,1.41436,-3.35396,,,-0.06,-0.057,,,0.345,,,,,,,19.95,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-0516L b,17h58m33.63s,269.640125,-31d15m44.6s,-31.262389,0.06324167,20.1,2.2,0.47,7000,,2458227.648,0.1042,24.96,0.011,0.8674,1.29,2.2775,19.45,,0.08,5,359.42174,-3.59284,,,,,,,0.81,,,,,,,17.58,,,,,,,,,,,,,,,,,
KMT-2019-BLG-1806L b,18h02m09.01s,270.537542,-29d24m53.60s,-29.414889,0.01469346,4.67,2.87,0.75,6620,,2458715.452,0.026,132.8,1.8,0.9377,0.1888,2.15,21.35,,0.19,1.17,1.41436,-3.35396,,,-0.055,-0.058,,,0.345,,,,,,,19.95,,,,,,,,,,,,,,,,,
KMT-2021-BLG-0748L b,18h09m41.12s,272.421333,-25d44m47.69s,-25.746581,0.41,130.3096469,2.35,0.36,6100,,2459344.647,0.402,41.116,1.506,1.19,10.78,1.449,20.73,,0.32,2.9,5.4377,-3.02894,,,,,,,0.514,,0.06342,,,,,19.19,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-0516L b,17h58m33.63s,269.640125,-31d15m44.6s,-31.262389,0.06324167,20.1,2.2,0.47,7000,,2458227.654,-0.1042,24.97,0.011,1.0063,1.313,-2.2749,19.45,,0.08,5,359.42174,-3.59284,,,0.07,-0.053,,,0.81,,,,,,,17.58,,,,,,,,,,,,,,,,,
KMT-2017-BLG-0428L b,18h05m32.46s,271.38525,-28d29m25.01s,-28.490281,0.01771396,5.63,1.78,0.34,5400,,2457943.976,0.205,44.4,6.4,0.8819,0.507,1.89,20.43,,0.09,3.27,2.58566,-3.54923,,,,,,,0.578,,,,,,,19.4,,,,,,,,,,,,,,,,,
OGLE-2017-BLG-1806L b,17h46m29.58s,266.62325,-24d16m20.17s,-24.272269,0.01532273,4.87,2.82,0.41,2870,,2458024.379,-0.0257,67,2.4,1.1806,0.3622,-3.121,21.08,,0.24,5.48,4.08658,2.25801,,,0.504,0.133,,,0.571,,,,,,,18.99,,,,,,,,,,,,,,,,,
KMT-2016-BLG-1105L b,17h45m47.34s,266.44725,-26d15m58.93s,-26.266369,,,,,,,2457555.972,0.143,44.9,3.3,,,,,,,,2.29896,1.35832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMT-2019-BLG-0253L b,17h51m31.82s,267.882583,-29d33m55.7s,-29.565472,0.02894644,9.2,3.1,0.7,4900,,2458590.565,0.0565,56.08,0.0045,1.0092,0.41,1.0223,19.8,,0.23,4.7,0.12563,-1.42905,,,-0.362,0.053,,,1.05,,,,,,,17.29,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-0506L b,17h50m31.16s,267.629833,-31d55m26.6s,-31.924056,0.05128554,16.3,3,0.63,5600,,2458224.158,0.0884,23.87,0.014,1.0594,0.763,1.8532,19.37,,0.43,8.1,357.98566,-2.44687,,,,,,,5.11,,,,,,,15.1,,,,,,,,,,,,,,,,,
KMT-2019-BLG-2974L b,17h51m24.50s,267.852083,-29d25m23.38s,-29.423161,,,,,,,2458753.059,-0.165,27.7,11,0.851,6.33,-0.392,21.35,,0.082,1.05,0.23449,-1.33358,,,-0.014,0.336,,,0.82,,,,,,,18.03,,,,,,,,,,,,,,,,,
OGLE-2014-BLG-0676L b,17h52m24.50s,268.102083,-30d32m54.2s,-30.548389,3.68,1169.608538,4.53,0.73,2670,,,,,0.278,,47.8,,23.5,,1.26,3.95,359.37612,-2.09312,,,,,,,0.35,,,,,,,,21.2,,,,19.71,,,,,,,,,2.5,0.47,,0.47
KMT-2019-BLG-0253L b,17h51m31.82s,267.882583,-29d33m55.7s,-29.565472,0.02894644,9.2,3.1,0.7,4900,,2458590.555,-0.0532,59.6,0.0045,0.9289,0.407,1.023,19.8,,0.23,4.7,0.12563,-1.42905,,,0.509,0.114,,,1.05,,,,,,,17.29,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-0506L b,17h50m31.16s,267.629833,-31d55m26.6s,-31.924056,0.05128554,16.3,3,0.63,5600,,2458224.158,0.0878,23.84,0.012,0.8564,0.822,1.8546,19.37,,0.43,8.1,357.98566,-2.44687,,,0.621,0.018,,,5.11,,,,,,,15.1,,,,,,,,,,,,,,,,,
KMT-2021-BLG-1391L b,18h02m44.06s,270.683583,-28d03m37.80s,-28.0605,0.01107516,3.52,1.49,0.23,6720,,2459385.291,0.012,31.791,1.077,0.966,0.4635,2.438,22.15,,0.227,2.61,2.65873,-2.80007,,,,,,,0.244,,0.0343,,,,,20.96,,,,,,,,,,,,,,,,,
KMT-2017-BLG-0428L b,18h05m32.46s,271.38525,-28d29m25.01s,-28.490281,0.01746225,5.55,1.85,0.34,5400,,2457943.978,0.205,44.3,6.1,0.9146,0.4989,1.889,20.43,,0.09,3.28,2.58566,-3.54923,,,,,,,0.578,,,,,,,19.4,,,,,,,,,,,,,,,,,
OGLE-2014-BLG-0676L b,17h52m24.50s,268.102081,-30d32m54.20s,-30.548389,,,,,,,2456777.306,0.0043,107.3,0.269,0.76,48.5,2.27,23.512,,1.38,,359.37612,-2.09312,,,,,,,,,,,,,,21.02,,,,,,,,,,,,,,2.5,,,
OGLE-2018-BLG-0516L b,17h58m33.63s,269.640125,-31d15m44.6s,-31.262389,0.06324167,20.1,2.2,0.47,7000,,2458227.652,0.1034,25.47,0.011,0.8679,1.28,2.2733,19.45,,0.08,5,359.42174,-3.59284,,,-0.461,-0.108,,,0.81,,,,,,,17.58,,,,,,,,,,,,,,,,,
KMT-2021-BLG-1253L b,17h50m28.13s,267.617208,-29d16m45.41s,-29.279281,0.05581628,17.74,1.3,0.21,6780,,2459374.409,0.005743,9.479,2.141,0.873,2.523,1.002,23.27,,0.244,9.4,0.25345,-1.08408,,,,,,,0.517,,0.02,,,,,19.1,,,,,,,,,,,,,,,,,
KMT-2019-BLG-1552L b,17h58m22.99s,269.595792,-27d34m00.98s,-27.566939,,,,,,,2458715.019,-0.216,106.7,17,0.776,51.3,-1.789,20.36,,0.039,0.13,2.61115,-1.71979,,,0.02,0.092,,,0.66,,,,,,,18.3,,,,,,,,,,,,,,,,,
KMT-2017-BLG-1003L b,17h41m38.76s,265.4115,-24d22m26.18s,-24.373939,0.01632957,5.19,1.38,0.32,7090,,,,,,,,,,,,3.11,3.42241,3.14652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
