pl_name,rastr,ra,decstr,dec,pl_massj,pl_masse,pl_orbsmax,st_mass,sy_dist,ml_dists,ml_tsepmin,ml_sepminnorm,ml_xtimeein,ml_radsnorm,ml_sepinsnorp,ml_massratio,ml_angstlax,ml_magis,ml_magibl,ml_radeinang,ml_pmrells,glon,glat,ml_plxrel,ml_plxmicro,ml_plxmicron,ml_plxmicroe,ml_dsdt,ml_dalphadt,ml_radsang,ml_radsphy,ml_xtimesrc,ml_efftime,ml_pms,ml_magvs,ml_magvso,ml_magiso,ml_magjs,ml_magjso,ml_maghs,ml_maghso,ml_magks,ml_magkso,ml_magibase,sy_vmag,sy_icmag,sy_jmag,sy_hmag,sy_kmag,ml_extvfld,ml_extifld,ml_extjfld,ml_exthfld,ml_extkfld
KMT-2019-BLG-1367L b,18h09m53.12s,272.471333,-29d45m43.96s,-29.762211,0.01296297,4.12,1.73,0.25,4670,,2458667.884,0.082,39.8,5.6,0.9763,0.5035,1.207,21.47,,0.06,3.89,1.92632,-4.99338,,,,,,,0.316,,,,,,,20.71,,,,,,,,,,,,,,,,,
OGLE-2019-BLG-1053L b,18h00m39.93s,270.166375,-27d20m29.7s,-27.341583,0.00786588,2.5,3.4,0.62,6800,,2458690.566,-0.35,34.4,2.07,1.406,0.124,-3.681,19.888,,0.367,,3.0586,-2.04713,,,-0.327,0.027,,,0.759,,,,,,,,,,,,,,,,,,,,,,,,
OGLE-2019-BLG-1492L b,18h00m23.15s,270.096458,-28d37m52.1s,-28.631139,0.11672965,37.1,2.7,0.68,5600,,2458763.129,-0.0478,52.1,0.009,1.045,1.76,-2.139,21.1,,0.03,3.8,1.90665,-2.63192,,,0.575,-0.001,,,0.3,,,,,,,20.08,,,,,,,,,,,,,,,,,
OGLE-2019-BLG-1492L b,18h00m23.15s,270.096458,-28d37m52.1s,-28.631139,0.11672965,37.1,2.7,0.68,5600,,2458763.137,0.0507,50.1,0.009,0.898,1.91,2.123,21.1,,0.03,3.8,1.90665,-2.63192,,,,,,,0.3,,,,,,,20.08,,,,,,,,,,,,,,,,,
KMT-2017-BLG-0428L b,18h05m32.46s,271.38525,-28d29m25.01s,-28.490281,0.01758811,5.59,1.81,0.34,5400,,,,,,,,,,,,3.27,2.58566,-3.54923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-0506L b,17h50m31.16s,267.629833,-31d55m26.6s,-31.924056,0.05128554,16.3,3,0.63,5600,,2458224.158,-0.0878,23.81,0.012,0.8548,0.848,-1.8541,19.37,,0.43,8.1,357.98566,-2.44687,,,-0.794,-0.094,,,5.11,,,,,,,15.1,,,,,,,,,,,,,,,,,
OGLE-2017-BLG-1806L b,17h46m29.58s,266.62325,-24d16m20.17s,-24.272269,0.01519688,4.83,1.69,0.33,6170,,2458024.393,-0.026,66.8,1.83,0.8566,0.4446,-0.002,21.07,,0.314,2.13,4.08658,2.25801,,,0.292,0.144,,,0.574,,,,,,,18.98,,,,,,,,,,,,,,,,,
KMT-2017-BLG-1003L b,17h41m38.76s,265.4115,-24d22m26.18s,-24.373939,0.02123788,6.75,1.54,0.37,7030,,2457872.484,0.179,25.65,6.7,0.8889,0.5495,1.073,19.3,,0.14,3.55,3.42241,3.14652,,,,,,,0.942,,,,,,,17.6,,,,,,,,,,,,,,,,,
KMT-2021-BLG-0748L b,18h09m41.12s,272.421333,-25d44m47.69s,-25.746581,,,,,,,2459344.62,0.76,27.459,5.067,1.438,4.91,1.473,20.73,,0.16,2.1,5.4377,-3.02894,,,,,,,0.514,,0.1391,,,,,19.19,,,,,,,,,,,,,,,,,
KMT-2016-BLG-1105L b,17h45m47.34s,266.44725,-26d15m58.93s,-26.266369,0.01469346,4.67,2.03,0.37,7120,,2457555.789,0.153,42.4,2.92,1.136,0.3776,3.83,21.2,,0.24,2.29,2.29896,1.35832,,,,,,,0.702,,,,,,,18.39,,,,,,,,,,,,,,,,,
KMT-2021-BLG-0748L b,18h09m41.12s,272.421333,-25d44m47.69s,-25.746581,0.45,143.0227832,2.43,0.36,6090,,,,,,,,,,,,,5.4377,-3.02894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMT-2019-BLG-1367L b,18h09m53.12s,272.471333,-29d45m43.96s,-29.762211,0.01283712,4.08,1.7,0.25,4670,,,,,,,,,,,,3.91,1.92632,-4.99338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMT-2021-BLG-1253L b,17h50m28.13s,267.617208,-29d16m45.41s,-29.279281,0.06937706,22.05,1.72,0.29,6320,,2459374.41,0.005683,9.547,1.306,0.938,2.282,0.999,23.27,,0.405,15.5,0.25345,-1.08408,,,,,,,0.517,,0.0124,,,,,19.1,,,,,,,,,,,,,,,,,
OGLE-2019-BLG-1053L b,18h00m39.93s,270.166375,-27d20m29.7s,-27.341583,0.00780295,2.48,3.4,0.61,6800,,,,,,,,,,,,,3.0586,-2.04713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMT-2021-BLG-1391L b,18h02m44.06s,270.683583,-28d03m37.80s,-28.0605,0.01469346,4.67,2.41,0.39,5550,,2459385.291,0.012,31.685,0.535,1.027,0.3619,2.437,22.15,,0.456,5.26,2.65873,-2.80007,,,,,,,0.244,,0.017,,,,,20.96,,,,,,,,,,,,,,,,,
OGLE-2019-BLG-1492L b,18h00m23.15s,270.096458,-28d37m52.1s,-28.631139,0.11672965,37.1,2.7,0.68,5600,,2458763.12,0.0473,52.8,0.009,0.903,1.8,2.14,21.1,,0.03,3.8,1.90665,-2.63192,,,-0.342,-0.062,,,0.3,,,,,,,20.08,,,,,,,,,,,,,,,,,
KMT-2019-BLG-1042L b,18h02m10.57s,270.544042,-27d34m50.41s,-27.580669,,,,,,,2458637.13,0.083,10.52,1.18,1.125,6.39,3.767,21.69,,0.364,12.6,3.01617,-2.4566,,,,,,,0.429,,,,,,,19.99,,,,,,,,,,,,,,,,,
KMT-2019-BLG-1552L b,17h58m22.99s,269.595792,-27d34m00.98s,-27.566939,4.05,1287.205048,2.6,0.79,4600,,,,,,,,,,,,3.2,2.61115,-1.71979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMT-2019-BLG-2974L b,17h51m24.50s,267.852083,-29d25m23.38s,-29.423161,,,,,,,2458753.059,0.164,27.85,11,0.851,6.41,0.386,21.35,,0.082,1.05,0.23449,-1.33358,,,-0.091,0.317,,,0.82,,,,,,,18.03,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-0799L b,18h13m50.16s,273.459,-25d29m08.6s,-25.485722,,,,,,,2458295.15,0.403,28.2,26,1.116,26.2,1.17,,,,,6.11549,-3.72589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-0799L b,18h13m50.16s,273.459,-25d29m08.6s,-25.485722,0.27,85.81366989,1.31,0.096,3930,,2458295.13,-0.403,28.2,26,1.117,26.4,-1.169,17.46,,,3.93,6.11549,-3.72589,,,0.41,0.109,,,2.75,,,,,,,15.9,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-0799L b,18h13m50.16s,273.459,-25d29m08.6s,-25.485722,,,,,,,2458295.15,0.419,27.5,25,1.128,25.2,1.175,17.46,,,,6.11549,-3.72589,,,0.097,-0.425,0.058,0.103,2.75,,,,,,,15.9,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-0799L b,18h13m50.16s,273.459,-25d29m08.6s,-25.485722,,,,,,,2458295.16,0.413,27.7,24,1.123,26.1,1.173,17.46,,,,6.11549,-3.72589,,,0.076,-0.317,,,2.75,,,,,,,15.9,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-0799L b,18h13m50.16s,273.459,-25d29m08.6s,-25.485722,1.65,524.4168716,1.43,0.6,7100,,,,,,,,,17.46,,,2.31,6.11549,-3.72589,,,,,,,2.75,,,,,,,15.9,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-0799L b,18h13m50.16s,273.459,-25d29m08.6s,-25.485722,,,,,,,2458295.15,-0.417,27.5,25,1.127,25.8,-1.175,17.46,,,,6.11549,-3.72589,,,-0.366,-0.354,,,2.75,,,,,,,15.9,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-0799L b,18h13m50.16s,273.459,-25d29m08.6s,-25.485722,1.68,533.9517238,1.41,0.62,7140,,2458295.13,0.401,28.3,26,1.115,26.2,1.167,17.46,,,2.27,6.11549,-3.72589,,,-0.037,0.006,,,2.75,,,,,,,15.9,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-0799L b,18h13m50.16s,273.459,-25d29m08.6s,-25.485722,0.26,82.63538582,1.28,0.093,4050,,,,,,,,,17.46,,,3.71,6.11549,-3.72589,,,,,,,2.75,,,,,,,15.9,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-0799L b,18h13m50.16s,273.459,-25d29m08.6s,-25.485722,,,,,,,2458295.16,-0.418,27.5,25,1.128,26.1,-1.181,17.46,,,,6.11549,-3.72589,,,-0.798,-0.399,0.546,0.34,2.75,,,,,,,15.9,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-0799L b,18h13m50.16s,273.459,-25d29m08.6s,-25.485722,0.21,66.74396547,1.02,0.074,6190,,2458295.13,0.399,28.4,26,1.112,26.5,1.167,17.46,,,1.95,6.11549,-3.72589,,,-0.301,0.152,,,2.75,,,,,,,15.9,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-0799L b,18h13m50.16s,273.459,-25d29m08.6s,-25.485722,1.62,514.8820193,1.45,0.59,7060,,2458295.15,-0.404,28.1,26,1.116,26.5,-1.17,17.46,,,2.35,6.11549,-3.72589,,,0.047,-0.02,,,2.75,,,,,,,15.9,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-0799L b,18h13m50.16s,273.459,-25d29m08.6s,-25.485722,0.37,117.5965106,1.34,0.13,5290,,2458295.13,-0.402,28.2,26,1.114,27,1.169,17.46,,,2.97,6.11549,-3.72589,,,0.373,0.083,,,2.75,,,,,,,15.9,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-0799L b,18h13m50.16s,273.459,-25d29m08.6s,-25.485722,0.38,120.7747947,1.24,0.13,6280,,,,,,,,,17.46,,,2.33,6.11549,-3.72589,,,,,,,2.75,,,,,,,15.9,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-0799L b,18h13m50.16s,273.459,-25d29m08.6s,-25.485722,0.38,120.7747947,1.19,0.14,6580,,2458295.13,0.4,28.4,26,1.111,27,1.168,17.46,,,2.13,6.11549,-3.72589,,,-0.218,0.121,,,2.75,,,,,,,15.9,,,,,,,,,,,,,,,,,
KMT-2021-BLG-1105L b,17h42m55.74s,265.73225,-25d30m32.08s,-25.508911,1.3,413.1769291,3.54,0.63,4540,,,,,,,,,21.49,,,,2.60875,2.30259,,,,,,,0.482,,,,,,,18.61,,,,,,,,,,,,,,,,,
KMT-2021-BLG-1105L b,17h42m55.74s,265.73225,-25d30m32.08s,-25.508911,,,,,,,2459375.856,0.107,35.374,1.3,0.939,19.34,2.148,21.49,,,,2.60875,2.30259,,,,,,,0.482,,0.054,,,,,18.61,,,,,,,,,,,,,,,,,
KMT-2021-BLG-1105L b,17h42m55.74s,265.73225,-25d30m32.08s,-25.508911,1.27,403.6420769,3.6,0.61,4620,,2459375.826,0.109,34.965,1.3,1.214,19.84,2.14,21.49,,,,2.60875,2.30259,,,,,,,0.482,,0.054,,,,,18.61,,,,,,,,,,,,,,,,,
KMT-2021-BLG-1105L b,17h42m55.74s,265.73225,-25d30m32.08s,-25.508911,,,,,,,2459375.78,0.101,36.248,1.3,0.899,45.73,2.152,21.49,,,,2.60875,2.30259,,,,,,,0.482,,0.054,,,,,18.61,,,,,,,,,,,,,,,,,
KMT-2021-BLG-1105L b,17h42m55.74s,265.73225,-25d30m32.08s,-25.508911,1.24,394.1072247,2.78,0.61,4550,,2459375.856,0.107,35.374,1.3,0.939,19.34,2.148,21.49,,,,2.60875,2.30259,,,,,,,0.482,,0.054,,,,,18.61,,,,,,,,,,,,,,,,,
KMT-2021-BLG-1105L b,17h42m55.74s,265.73225,-25d30m32.08s,-25.508911,,,,,,,2459375.711,0.107,34.425,1.3,1.265,49.39,2.136,21.49,,,,2.60875,2.30259,,,,,,,0.482,,0.054,,,,,18.61,,,,,,,,,,,,,,,,,
KMT-2021-BLG-1105L b,17h42m55.74s,265.73225,-25d30m32.08s,-25.508911,1.28,406.820361,2.82,0.63,4480,,2459375.856,0.107,35.374,1.3,0.939,19.34,2.148,21.49,,,,2.60875,2.30259,,,,,,,0.482,,0.054,,,,,18.61,,,,,,,,,,,,,,,,,
KMT-2021-BLG-1105L b,17h42m55.74s,265.73225,-25d30m32.08s,-25.508911,,,,,,,2459375.826,0.109,34.965,1.3,1.214,19.84,2.14,21.49,,,,2.60875,2.30259,,,,,,,0.482,,0.054,,,,,18.61,,,,,,,,,,,,,,,,,
KMT-2021-BLG-1105L b,17h42m55.74s,265.73225,-25d30m32.08s,-25.508911,1.3,413.1769291,3.64,0.63,4550,,2459375.826,0.109,34.965,1.3,1.214,19.84,2.14,21.49,,,,2.60875,2.30259,,,,,,,0.482,,0.054,,,,,18.61,,,,,,,,,,,,,,,,,
KMT-2021-BLG-1105L b,17h42m55.74s,265.73225,-25d30m32.08s,-25.508911,2.37,753.2533246,3.7,1.17,4150,,2459375.856,0.107,35.374,1.3,0.939,19.34,2.148,21.49,,,,2.60875,2.30259,,,,,,,0.482,,0.054,,,,,18.61,,,,,,,,,,,,,,,,,
KMT-2021-BLG-0712L b,17h57m08.56s,269.285667,-31d11m04.09s,-31.184469,,,,,,,2459349.317,0.147,90.865,0.3903,1.196,4.751,0.467,21.75,,,,359.33831,-3.29115,,,,,,,0.255,,0.0355,,,,,20.4,,,,,,,,,,,,,,,,,
KMT-2021-BLG-0909L b,17h42m28.85s,265.620208,-27d38m20.90s,-27.639139,1.26,400.4637928,1.75,0.38,6480,,2459354.073,0.06,16.046,3.326,0.823,31.74,3.472,20.8,,0.362,8.24,0.74299,1.26803,,,,,,,1.205,,0.0535,,,,,17.26,,,,,,,,,,,,,,,,,
KMT-2021-BLG-2478L b,17h57m14.21s,269.309208,-29d06m07.09s,-29.101969,0.91,289.2238504,1.83,0.2,2860,,2459482.162,0.089,37.907,0.8545,1.057,43.27,0.261,20.49,,,,1.15451,-2.26818,,,0.101,0.355,0.553,0.589,0.504,,0.0324,,,,,19.09,,,,,,,,,,,,,,,,,
KMT-2021-BLG-2478L b,17h57m14.21s,269.309208,-29d06m07.09s,-29.101969,0.9,286.0455663,1.87,0.2,3060,,2459482.156,-0.088,38.049,0.9271,1.056,42.06,6.02,20.49,,,,1.15451,-2.26818,,,0.078,0.339,0.549,-0.113,0.504,,0.0353,,,,,19.09,,,,,,,,,,,,,,,,,
KMT-2021-BLG-0712L b,17h57m08.56s,269.285667,-31d11m04.09s,-31.184469,0.08105002,25.76,1.57,0.14,2080,,2459350.068,-0.144,100.583,0.4221,1.206,5.653,5.788,21.75,,0.604,2.19,359.33831,-3.29115,,,0.701,-0.204,-0.149,-0.902,0.255,,0.04246,,,,,20.4,,,,,,,,,,,,,,,,,
KMT-2021-BLG-0712L b,17h57m08.56s,269.285667,-31d11m04.09s,-31.184469,0.12553944,39.9,2.29,0.23,3200,,2459349.954,0.145,88.503,0.401,1.196,5.121,0.452,21.75,,0.636,2.62,359.33831,-3.29115,,,0.425,-0.047,0.008,-0.688,0.255,,0.0355,,,,,20.4,,,,,,,,,,,,,,,,,
KMT-2021-BLG-2478L b,17h57m14.21s,269.309208,-29d06m07.09s,-29.101969,,,,,,,2459482.104,0.078,43.111,0.4504,1.055,31.09,0.276,20.49,,,,1.15451,-2.26818,,,,,,,0.504,,0.0194,,,,,19.09,,,,,,,,,,,,,,,,,
KMT-2021-BLG-0712L b,17h57m08.56s,269.285667,-31d11m04.09s,-31.184469,0.12015918,38.19,2.22,0.22,3090,,,,,,,,,21.75,,,,359.33831,-3.29115,,,,,,,0.255,,,,,,,20.4,,,,,,,,,,,,,,,,,
KMT-2021-BLG-2478L b,17h57m14.21s,269.309208,-29d06m07.09s,-29.101969,0.9,286.0455663,1.85,0.2,2970,,,,,,,,,20.49,,,,1.15451,-2.26818,,,,,,,0.504,,,,,,,19.09,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-0298L b,17h37m08.28s,264.2845,-29d42m32.80s,-29.709111,0.14,44.49597698,2.86,0.69,6540,,,,,,,,,,,,,358.36627,1.16043,,,,,,,1.513,,,,,,,16.72,,,,,,,,,,,,,,,,,
KMT-2018-BLG-2602L b,17h49m35.29s,267.397042,-21d58m34.32s,-21.9762,,,,,,,2458269.95,0.565,94.4,72,1.532,16.2,2.033,17.88,,,0.13,6.4233,2.8314,,,,,,,3.207,,,,,,,15.88,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-0298L b,17h37m08.28s,264.2845,-29d42m32.80s,-29.709111,0.15,47.67426105,2.84,0.7,6490,,2458188.742,0.02151,32.08,3.58,0.957,1.99,0.35,20.67,,,,358.36627,1.16043,,,,,,,1.513,,,,,,,16.72,,,,,,,,,,,,,,,,,
KMT-2018-BLG-2602L b,17h49m35.29s,267.397042,-21d58m34.32s,-21.9762,1.15,365.5026681,3.81,0.66,4310,,,,,,,,,,,,,6.4233,2.8314,,,,,,,3.207,,,,,,,15.88,,,,,,,,,,,,,,,,,
KMT-2018-BLG-2602L b,17h49m35.29s,267.397042,-21d58m34.32s,-21.9762,,,,,,,2458271.24,0.469,108.9,,,,,18.21,,,0.13,6.4233,2.8314,,,,,,,3.207,,,,,,,15.88,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-0298L b,17h37m08.28s,264.2845,-29d42m32.80s,-29.709111,,,,,,,2458188.708,0.02317,33.35,25.5,,,,20.74,,,,358.36627,1.16043,,,,,,,1.513,,,,,,,16.72,,,,,,,,,,,,,,,,,
KMT-2018-BLG-0087L b,17h37m18.48s,264.327,-27d49m55.42s,-27.832061,0.23,73.10053361,0.87,0.1,7020,,2458281.729,0.528,4.536,110,0.898,21.7,4.986,16.82,,,,359.97133,2.13546,,,,,,,9.529,,,,,,,13.96,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-1119L b,18h00m07.02s,270.02925,-32d22m31.0s,-32.375278,,,,,,,2458316.28,0.432,40.3,,,,,19.58,,,0.13,358.61588,-4.43046,,,,,,,0.681,,,,,,,18.29,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-1119L b,18h00m07.02s,270.02925,-32d22m31.0s,-32.375278,0.91,289.2238504,4.06,0.48,5760,,,,,,,,,,,,,358.61588,-4.43046,,,,,,,0.681,,,,,,,18.29,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-1119L b,18h00m07.02s,270.02925,-32d22m31.0s,-32.375278,0.86,273.33243,3.13,0.48,5700,,2458316.05,0.405,41.2,61,1.081,17,1.869,19.64,,,0.13,358.61588,-4.43046,,,,,,,0.681,,,,,,,18.29,,,,,,,,,,,,,,,,,
KMT-2018-BLG-2602L b,17h49m35.29s,267.397042,-21d58m34.32s,-21.9762,,,,,,,2458270.33,0.518,98.7,74,1.182,16.5,2.057,18.03,,,0.13,6.4233,2.8314,,,,,,,3.207,,,,,,,15.88,,,,,,,,,,,,,,,,,
KMT-2018-BLG-0247L b,17h38m14.41s,264.560042,-27d09m01.48s,-27.150411,2.11,670.6179388,2.46,0.29,6760,,,,,,,,,,,,,0.65841,2.32524,,,,,,,0.641,,,,,,,18.01,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-1119L b,18h00m07.02s,270.02925,-32d22m31.0s,-32.375278,0.91,289.2238504,4.11,0.48,5760,,2458315.98,0.435,39.3,71,1.426,18.1,1.857,19.53,,,0.13,358.61588,-4.43046,,,,,,,0.681,,,,,,,18.29,,,,,,,,,,,,,,,,,
KMT-2018-BLG-0247L b,17h38m14.41s,264.560042,-27d09m01.48s,-27.150411,2.04,648.3699503,2.56,0.27,6840,,2458308.421,0.0651,10.67,2.52,1.1182,71.1,1.2,20.96,,0.256,8.8,0.65841,2.32524,,,,,,,0.641,,,,,,,18.01,,,,,,,,,,,,,,,,,
KMT-2018-BLG-0247L b,17h38m14.41s,264.560042,-27d09m01.48s,-27.150411,2.33,740.5401883,2.11,0.35,6470,,2458308.424,0.0686,10.56,1.92,0.972,62.8,1.146,20.95,,0.335,11.6,0.65841,2.32524,,,,,,,0.641,,,,,,,18.01,,,,,,,,,,,,,,,,,
KMT-2018-BLG-0087L b,17h37m18.48s,264.327,-27d49m55.42s,-27.832061,0.32,101.7050902,0.66,0.11,6900,,2458281.737,0.514,4.607,96,0.638,27.3,5.001,16.86,,,,359.97133,2.13546,,,,,,,9.529,,,,,,,13.96,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-0298L b,17h37m08.28s,264.2845,-29d42m32.80s,-29.709111,0.091,28.92238504,2.98,0.63,6790,,2458188.739,0.02149,32.28,3.98,1.079,1.37,0.357,20.68,,,,358.36627,1.16043,,,,,,,1.513,,,,,,,16.72,,,,,,,,,,,,,,,,,
KMT-2018-BLG-0030L b,17h38m04.00s,264.516667,-28d02m29.85s,-28.041625,1.45,460.8511902,4.39,0.51,6480,,2458271.459,0.9005,27.94,112,1.58,27.4,2.3521,16.82,,,,359.88389,1.88177,,,,,,,8.478,,,,,,,13.93,,,,,,,,,,,,,,,,,
KMT-2021-BLG-1105L b,17h42m55.74s,265.73225,-25d30m32.08s,-25.508911,2.43,772.323029,4.79,1.17,4140,,2459375.826,0.109,34.965,1.3,1.214,19.84,2.14,21.49,,,,2.60875,2.30259,,,,,,,0.482,,0.054,,,,,18.61,,,,,,,,,,,,,,,,,
K2-2016-BLG-0005L b,17h59m31.16s,269.879833,-27d36m26.90s,-27.607472,1.16,368.6809521,4.11,0.574,5260,8000,2457488,-0.629,74,1.93,1.417,19,1.02,,,0.57,2.73,2.70141,-1.95829,,,0.09,-0.076,,,1.06,,,,,,,,,,,,,,,,,,,,,,,,
K2-2016-BLG-0005L b,17h59m31.16s,269.879833,-27d36m26.90s,-27.607472,1.1,349.6112477,4.16,0.584,5200,8000,2457486.6,0.62,76,1.87,1.414,18,5.276,,,0.57,2.71,2.70141,-1.95829,,,-0.11,-0.045,,,1.06,,,,,,,,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-1126L b,17h53m25.41s,268.355875,-31d43m28.99s,-31.724719,0.056,17.79839079,3.23,0.69,5700,,,,,,,,,21.43,,,,358.47146,-2.87675,,,,,,,0.431,,,,,,,19.48,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-1212L b,18h04m18.63s,271.077625,-28d11m38.70s,-28.194083,0.19,60.38739733,1.87,0.14,1960,,2458393.759,0.01389,50.47,,1.452,12.54,1.102,18.52,,,,2.71258,-3.16846,,,-0.408,0.541,,,0.956,,,,,,,17.63,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-1647L b,17h55m50.97s,268.962375,-31d49m01.20s,-31.817,,,,,,,2458373.57,0.1001,54.67,3.66,0.794,99.6,5.394,20.87,,91000,,358.65154,-3.36874,,,,,,,0.471,,,,,,,19.44,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-1212L b,18h04m18.63s,271.077625,-28d11m38.70s,-28.194083,0.19,60.38739733,0.9,0.14,1930,,2458393.78,0.01303,50.45,,0.68,12.49,1.101,18.52,,,,2.71258,-3.16846,,,-0.406,0.539,,,0.956,,,,,,,17.63,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-1647L b,17h55m50.97s,268.962375,-31d49m01.20s,-31.817,0.97,308.2935548,1.36,0.092,7880,,2458373.52,0.11,52.31,5.18,1.433,99.8,5.365,20.87,,91000,,358.65154,-3.36874,,,,,,,0.471,,,,,,,19.44,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-1126L b,17h53m25.41s,268.355875,-31d43m28.99s,-31.724719,0.043,13.6666215,4.01,0.69,5690,,2458298.168,0.00824,53.33,,1.154,0.59,0.528,21.43,,,,358.47146,-2.87675,,,,,,,0.431,,,,,,,19.48,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-0932L b,17h53m24.29s,268.351208,-29d01m18.50s,-29.021806,0.89,282.8672822,1.75,0.72,6620,,2458301.142,0.8493,26.88,11.66,0.5355,11.86,2.5339,16.79,,0.458,6.22,0.80182,-1.50438,,,,,,,5.342,,,,,,,14.75,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-1212L b,18h04m18.63s,271.077625,-28d11m38.70s,-28.194083,0.2,63.5656814,1.68,0.16,1550,,,,,,,,,18.52,,,,2.71258,-3.16846,,,,,,,0.956,,,,,,,17.63,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-1126L b,17h53m25.41s,268.355875,-31d43m28.99s,-31.724719,0.06,19.06970442,2.96,0.69,5700,,2458298.166,0.0083,53.26,,0.852,0.82,0.496,21.43,,,,358.47146,-2.87675,,,,,,,0.431,,,,,,,19.48,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-1367L b,17h59m01.35s,269.755625,-29d10m06.10s,-29.168361,0.95,301.9369867,3.63,0.28,5370,,2458358.094,0.02598,22.7,16,1.701,32.2,1.606,18.94,,,,1.29152,-2.63928,,,,,,,0.769,,,,,,,18.03,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-1367L b,17h59m01.35s,269.755625,-29d10m06.10s,-29.168361,0.99,314.6501229,1.21,0.28,5370,,2458358.094,0.02593,22.7,16,0.566,33.6,1.604,18.94,,,,1.29152,-2.63928,,,,,,,0.769,,,,,,,18.03,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-1212L b,18h04m18.63s,271.077625,-28d11m38.70s,-28.194083,0.2,63.5656814,1.82,0.16,1550,,2458393.761,0.01373,51.22,,1.451,12.34,1.105,18.52,,,,2.71258,-3.16846,,,0.534,0.549,,,0.956,,,,,,,17.63,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-1367L b,17h59m01.35s,269.755625,-29d10m06.10s,-29.168361,0.95,301.9369867,,0.28,5370,,,,,,,,,18.94,,,,1.29152,-2.63928,,,,,,,0.769,,,,,,,18.03,,,,,,,,,,,,,,,,,
OGLE-2018-BLG-1212L b,18h04m18.63s,271.077625,-28d11m38.70s,-28.194083,0.2,63.5656814,0.86,0.16,1550,,2458393.781,0.01288,51.19,,0.68,12.33,1.104,18.52,,,,2.71258,-3.16846,,,0.534,0.55,,,0.956,,,,,,,17.63,,,,,,,,,,,,,,,,,
OGLE-2016-BLG-1093 b,17h56m01.03s,269.004292,-32d42m48.5s,-32.713472,0.74,235.1930212,2.23,0.48,8060,,2457560.319,0.021,56.311,2.103,1.017,14.7,2.535,,,0.25,,357.89166,-3.84811,,,0.058,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,
OGLE-2016-BLG-1093 b,17h56m01.03s,269.004292,-32d42m48.5s,-32.713472,,,,,,,2457560.317,0.021,55.395,2.123,1.018,15.36,2.528,,,,,357.89166,-3.84811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OGLE-2016-BLG-1093 b,17h56m01.03s,269.004292,-32d42m48.5s,-32.713472,0.71,225.658169,2.13,0.46,8120,,2457560.318,-0.021,56.355,2.142,1.017,14.73,-2.532,,,0.24,,357.89166,-3.84811,,,-0.044,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,
OGLE-2016-BLG-1093 b,17h56m01.03s,269.004292,-32d42m48.5s,-32.713472,,,,,,,2457560.316,-0.021,56.222,2.17,1.017,14.63,-2.537,,,,,357.89166,-3.84811,,,-0.104,0.256,,,,,,,,,,,,,,,,,,,,,,,,,,,
